#RUN	GRID	lat	lon	INFILT	Ds	Ds_MAX	Ws	C	EXPT_1	EXPT_2	Ksat_1	Ksat_2	PHI_1	PHI_2	MOIST_1	MOIST_2	ELEV	DEPTH_1	DEPTH_2	AVG_T	DP	BUBLE1	BUBLE2	QUARZ1	QUARZ2	BULKDN1	BULKDN2	PARTDN1	PARTDN2	OFF_GMT	WcrFT1	WcrFT2	WpFT1	WpFT2	Z0_SOIL	Z0_SNOW	PRCP	RESM1	RESM2	FS_ACTV
1	31	28.55	97.85	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4132	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	32	28.55	97.9	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4705	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	33	28.55	97.95	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4572	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	34	28.55	98	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.043333981	0.421320208	4141	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1210	1450	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	35	28.55	98.05	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4141	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	36	28.55	98.1	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4572	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	37	28.5	97.55	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4423	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	38	28.5	97.6	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4884	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	39	28.5	97.65	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4413	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	40	28.5	97.7	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4654	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
